num_items,has_electronics,state,order_total,avg_item_price,will_reorder
3,0,KS,870.17,290.06,0
1,0,SD,472.61,472.61,0
2,1,ND,220.04,110.02,0
4,1,MA,997.84,249.46,1
2,0,KS,1284.0,642.0,0
2,0,ND,1400.83,700.42,0
1,0,ND,1460.24,1460.24,0
5,0,FL,1182.62,236.52,1
5,0,MA,252.57,50.51,0
6,0,CO,1287.01,214.5,1
5,0,CA,629.94,125.99,1
2,0,NE,1108.37,554.18,0
6,1,IN,820.34,136.72,1
1,0,CA,1251.48,1251.48,1
3,0,AZ,666.98,222.33,0
2,1,NE,139.6,69.8,0
2,1,NE,857.39,428.7,0
6,0,TX,298.37,49.73,1
1,1,MN,1450.0,1450.0,1
4,1,TN,814.1,203.52,1
2,0,SD,852.66,426.33,0
4,0,SD,1365.54,341.38,0
4,0,NE,955.65,238.91,0
5,0,CO,488.96,97.79,1
1,0,IL,479.34,479.34,1
4,1,KS,777.29,194.32,0
1,0,MI,1306.58,1306.58,0
5,0,KS,1202.36,240.47,0
1,0,WA,1445.97,1445.97,0
2,0,FL,154.23,77.11,1
4,1,OR,439.07,109.77,1
1,0,WA,166.3,166.3,0
3,1,MI,1139.06,379.69,1
1,0,CA,254.21,254.21,1
4,0,SD,194.84,48.71,0
5,1,KS,864.42,172.88,1
5,0,NE,646.65,129.33,0
4,0,MA,1086.9,271.73,1
2,1,SD,756.17,378.08,0
2,0,CO,666.74,333.37,0
5,1,OR,666.98,133.4,1
5,1,TX,1314.22,262.84,1
4,0,FL,623.08,155.77,1
2,0,WA,533.43,266.71,0
5,0,MA,540.88,108.18,0
2,0,FL,335.07,167.54,1
5,1,CA,1298.0,259.6,1
1,1,IN,262.61,262.61,1
3,0,MN,1367.49,455.83,1
6,0,FL,461.03,76.84,1
1,0,WA,1354.17,1354.17,0
6,0,NE,1196.69,199.45,0
5,1,CA,893.88,178.78,1
3,0,MN,1020.73,340.24,0
3,1,FL,522.47,174.16,1
5,1,OR,882.63,176.53,1
5,1,TN,473.98,94.8,1
2,0,SD,633.3,316.65,0
5,1,MA,1158.76,231.75,1
4,1,OR,403.7,100.92,0
5,1,MA,1266.33,253.27,1
4,0,TN,595.03,148.76,1
5,0,OH,821.65,164.33,1
2,1,WA,1415.84,707.92,1
4,0,SD,1037.82,259.46,0
1,0,OH,986.13,986.13,1
4,1,MI,1081.83,270.46,1
2,0,SD,1381.26,690.63,0
6,0,OH,410.34,68.39,1
4,0,AZ,939.2,234.8,0
5,1,KS,630.57,126.11,1
5,0,MI,67.19,13.44,0
6,1,AZ,231.69,38.62,1
2,0,NE,521.24,260.62,0
3,0,MA,869.25,289.75,1
5,1,ND,1328.14,265.63,1
1,0,TX,1197.12,1197.12,1
2,1,MA,852.33,426.16,1
4,0,CO,157.11,39.28,0
4,0,CO,464.56,116.14,0
1,0,AZ,581.73,581.73,0
5,0,IL,951.49,190.3,1
2,1,MN,144.14,72.07,1
1,1,KS,818.78,818.78,0
5,0,MI,1357.12,271.42,1
2,0,KS,1072.88,536.44,0
4,1,MI,1205.76,301.44,1
2,0,MA,1038.43,519.22,0
6,0,NE,349.55,58.26,0
3,1,CA,210.2,70.07,1
2,1,AZ,1252.76,626.38,0
3,1,TN,1058.48,352.83,1
2,1,IL,883.84,441.92,1
3,1,CO,324.46,108.15,1
6,0,NE,924.85,154.14,0
4,0,MA,95.42,23.86,0
5,0,CO,222.32,44.46,0
3,1,AZ,502.24,167.41,0
6,1,CO,693.42,115.57,1
3,1,IL,224.82,74.94,1
4,1,SD,223.91,55.98,1
3,1,OR,1102.55,367.52,1
6,1,CO,876.09,146.02,1
6,0,AZ,823.93,137.32,0
1,1,IL,706.03,706.03,1
4,0,OR,1465.99,366.5,0
1,0,KS,122.21,122.21,0
4,1,MI,311.91,77.98,1
3,1,SD,988.89,329.63,1
6,0,SD,247.73,41.29,0
1,0,MN,904.6,904.6,0
3,1,OH,873.25,291.08,1
6,1,KS,1457.96,242.99,1
4,1,TX,1330.91,332.73,1
6,0,FL,1421.05,236.84,1
3,0,IL,214.72,71.57,0
1,0,KS,1308.82,1308.82,0
1,0,OH,237.18,237.18,1
6,0,SD,967.75,161.29,1
3,1,ND,1094.11,364.7,1
2,0,FL,283.24,141.62,1
4,0,OH,967.36,241.84,1
4,0,KS,126.07,31.52,0
3,0,CA,475.24,158.41,1
2,1,MN,1385.68,692.84,1
1,1,OH,299.01,299.01,1
5,1,IN,144.64,28.93,1
5,0,NE,693.33,138.67,0
3,0,NE,1283.4,427.8,0
2,0,ND,161.17,80.58,0
2,0,KS,565.53,282.76,0
4,1,AZ,1354.67,338.67,0
1,0,AZ,221.33,221.33,0
6,1,OH,500.47,83.41,1
2,0,MI,1178.71,589.36,1
6,1,CO,837.66,139.61,1
5,1,KS,1256.88,251.38,1
6,1,IN,211.81,35.3,1
1,0,MA,1384.8,1384.8,0
1,1,MI,1405.62,1405.62,1
6,1,IL,275.2,45.87,1
3,0,AZ,99.12,33.04,0
2,0,MN,1485.27,742.64,0
3,1,NE,749.26,249.75,0
6,1,SD,879.51,146.58,1
2,0,MI,943.06,471.53,0
4,0,TX,1195.02,298.76,1
3,1,TX,1227.38,409.13,1
3,0,NE,331.19,110.4,0
6,0,KS,393.12,65.52,0
5,0,CA,1321.41,264.28,1
6,1,CO,1238.3,206.38,1
3,0,TX,945.55,315.18,1
2,1,IL,1492.31,746.16,1
5,0,TX,1116.02,223.2,1
6,1,TX,362.96,60.49,1
6,1,TX,1277.63,212.94,1
3,0,CA,651.36,217.12,1
3,0,CA,102.42,34.14,1
4,0,IL,516.06,129.01,1
6,0,AZ,1157.15,192.86,0
3,1,AZ,1442.3,480.77,1
1,0,CA,450.4,450.4,1
5,1,NE,407.45,81.49,0
1,0,IN,867.24,867.24,0
5,0,FL,1226.94,245.39,1
6,0,ND,1132.46,188.74,0
4,0,TX,861.94,215.48,1
3,0,IN,965.52,321.84,0
3,1,IL,401.04,133.68,1
3,0,CA,677.23,225.74,1
6,0,IN,420.28,70.05,1
5,1,ND,1332.41,266.48,1
3,1,TN,213.2,71.07,0
1,0,TN,1035.62,1035.62,0
3,1,AZ,427.41,142.47,0
6,0,MI,739.59,123.26,0
4,1,IN,484.15,121.04,1
1,1,TN,518.71,518.71,1
3,1,CO,427.57,142.52,1
3,1,FL,1141.55,380.52,1
2,0,CO,580.29,290.14,0
5,1,KS,1103.22,220.64,0
1,0,MI,711.3,711.3,0
2,0,AZ,843.51,421.76,0
4,0,MA,837.77,209.44,0
5,1,KS,1464.99,293.0,1
1,1,WA,582.24,582.24,1
3,0,MA,351.14,117.05,0
1,1,AZ,1372.1,1372.1,0
3,1,ND,303.52,101.17,0
5,0,WA,1259.91,251.98,0
3,0,MN,267.81,89.27,0
4,1,CO,1005.15,251.29,1
6,0,KS,268.28,44.71,0
3,0,TN,1388.47,462.82,1
4,1,TN,869.26,217.32,1
6,1,TX,527.45,87.91,1
5,1,CA,253.47,50.69,1
5,1,AZ,588.23,117.65,0
1,0,TN,1072.28,1072.28,0
4,0,NE,608.18,152.04,0
4,1,IL,406.84,101.71,1
2,0,IL,887.24,443.62,1
2,1,MI,655.84,327.92,1
6,0,MI,290.42,48.4,1
6,0,CO,273.28,45.55,1
2,0,TN,1075.82,537.91,0
6,1,TN,1463.27,243.88,1
3,0,CO,387.99,129.33,0
2,0,AZ,1171.07,585.54,0
4,0,ND,177.03,44.26,0
3,1,TX,603.29,201.1,1
6,0,MA,784.7,130.78,0
5,0,FL,439.68,87.94,1
1,0,IN,817.89,817.89,0
2,1,MA,1329.79,664.9,1
5,0,CO,1419.44,283.89,1
6,0,TN,195.81,32.64,0
4,0,CO,444.18,111.04,0
1,0,WA,1469.74,1469.74,0
5,1,OR,442.11,88.42,1
1,0,WA,1054.43,1054.43,0
2,1,CA,417.51,208.76,1
6,1,CO,566.73,94.46,1
4,0,TN,327.35,81.84,0
6,1,MI,1291.64,215.27,1
1,1,FL,1329.84,1329.84,1
5,1,AZ,480.52,96.1,1
2,0,FL,1244.21,622.1,1
2,0,AZ,569.45,284.73,0
6,0,OR,193.58,32.26,0
5,1,TN,1149.21,229.84,1
5,0,MA,914.85,182.97,0
1,0,KS,447.85,447.85,0
6,0,CO,416.85,69.48,1
6,0,TX,1464.65,244.11,1
3,0,AZ,1300.63,433.54,0
6,0,TN,1224.21,204.04,1
2,0,NE,235.63,117.82,0
1,1,OR,1145.02,1145.02,1
5,0,IN,361.08,72.22,0
6,1,IN,1467.21,244.54,1
1,0,OH,125.53,125.53,1
6,0,MA,560.6,93.43,0
5,1,CA,671.54,134.31,1
4,1,AZ,1245.09,311.27,0
5,0,SD,1161.02,232.2,1
5,1,AZ,593.74,118.75,1
5,1,IL,870.06,174.01,1
6,1,TN,1261.61,210.27,1
3,0,FL,76.39,25.46,1
5,0,CO,1213.16,242.63,1
2,1,TX,1423.0,711.5,1
2,1,TX,96.49,48.24,1
1,0,NE,116.09,116.09,0
3,1,OR,549.55,183.18,1
1,0,IN,177.27,177.27,0
2,0,CO,744.95,372.48,0
2,0,MI,1106.63,553.32,0
4,1,IL,872.0,218.0,1
5,0,TX,334.83,66.97,1
2,1,OR,999.48,499.74,1
6,0,CO,1043.04,173.84,0
6,1,AZ,1402.05,233.68,1
1,1,AZ,262.86,262.86,0
1,1,CO,1053.89,1053.89,1
5,1,WA,1371.57,274.31,1
5,0,MN,777.27,155.45,0
4,0,CO,574.61,143.65,0
3,0,MA,297.59,99.2,0
1,0,OR,1306.84,1306.84,0
5,1,WA,621.66,124.33,0
1,0,SD,1391.08,1391.08,0
5,0,CA,1279.25,255.85,1
2,0,MN,596.13,298.06,0
1,0,CA,882.18,882.18,0
2,0,TX,89.4,44.7,1
1,1,MA,431.67,431.67,1
3,0,AZ,1079.9,359.97,0
4,0,MI,1032.97,258.24,1
6,1,ND,562.39,93.73,0
6,1,TN,1222.48,203.75,1
6,0,KS,391.96,65.33,0
2,1,MN,718.84,359.42,1
5,0,CO,735.17,147.03,1
6,0,WA,544.18,90.7,0
3,0,OH,1434.27,478.09,1
6,0,KS,1060.19,176.7,0
1,1,FL,831.84,831.84,1
2,0,OH,790.25,395.12,1
1,0,AZ,280.98,280.98,0
1,1,MA,589.67,589.67,1
1,0,OR,1025.52,1025.52,0
4,0,TN,1390.63,347.66,1
4,1,OR,1233.87,308.47,1
5,0,NE,485.57,97.11,0
2,1,SD,679.24,339.62,0
3,0,CA,170.23,56.74,1
3,1,CA,198.15,66.05,1
3,0,TX,731.83,243.94,1
1,1,MN,818.82,818.82,1
4,0,IN,432.84,108.21,0
2,1,SD,982.03,491.02,0
1,0,ND,1069.9,1069.9,0
4,0,IL,483.72,120.93,1
4,0,AZ,1149.72,287.43,0
6,1,MA,348.13,58.02,1
6,1,NE,839.16,139.86,0
2,0,NE,1216.21,608.1,0
2,0,IL,828.66,414.33,1
2,1,KS,1366.55,683.28,1
1,0,FL,134.83,134.83,1
5,1,IN,903.06,180.61,1
2,1,OH,864.55,432.28,1
6,1,SD,1007.51,167.92,1
5,0,CO,1258.44,251.69,1
1,0,MA,1102.49,1102.49,0
5,1,TN,1195.91,239.18,1
3,1,OH,468.78,156.26,1
5,1,WA,611.87,122.37,1
2,0,MN,958.83,479.42,0
1,0,TX,852.52,852.52,0
2,0,IL,1443.6,721.8,1
6,1,MI,320.91,53.49,1
3,0,NE,559.35,186.45,0
6,0,AZ,880.5,146.75,0
2,0,AZ,1308.55,654.28,0
2,0,SD,1397.56,698.78,0
2,1,CA,537.25,268.62,1
4,0,TN,147.31,36.83,0
3,0,MA,661.35,220.45,0
2,0,OH,621.8,310.9,1
2,0,AZ,1480.41,740.2,0
6,0,TN,675.04,112.51,0
6,0,KS,493.3,82.22,0
2,1,IL,579.8,289.9,1
1,0,CO,625.54,625.54,0
4,0,NE,1241.23,310.31,0
6,0,TN,167.47,27.91,0
1,1,IL,508.94,508.94,1
4,0,OR,1451.16,362.79,1
2,1,IL,272.0,136.0,1
3,0,SD,1126.77,375.59,0
5,1,TX,566.77,113.35,1
5,0,OR,893.59,178.72,0
2,1,IL,194.34,97.17,1
6,0,NE,494.3,82.38,0
1,0,TN,776.25,776.25,1
3,1,TN,385.97,128.66,0
4,0,KS,835.71,208.93,0
2,1,FL,368.65,184.32,1
3,0,AZ,992.65,330.88,0
3,1,IL,1361.31,453.77,1
6,1,MN,173.96,28.99,1
4,1,IL,364.09,91.02,1
3,1,FL,1274.41,424.8,1
6,1,CA,965.75,160.96,1
1,1,MN,164.13,164.13,0
6,0,AZ,755.21,125.87,0
1,0,IL,354.15,354.15,1
1,1,OH,338.69,338.69,1
3,1,FL,1413.94,471.31,1
6,1,TN,1154.24,192.37,1
1,1,TN,1059.53,1059.53,1
4,1,CA,396.45,99.11,1
3,0,TX,221.93,73.98,1
6,0,NE,1312.71,218.78,0
6,0,WA,58.53,9.76,0
5,0,CO,612.74,122.55,1
6,0,AZ,452.54,75.42,0
3,1,AZ,877.05,292.35,1
4,1,ND,413.24,103.31,1
6,0,IL,501.25,83.54,1
5,0,NE,1282.56,256.51,0
3,0,CO,924.62,308.21,0
1,0,AZ,261.24,261.24,0
2,0,AZ,1103.38,551.69,0
2,0,MA,350.82,175.41,1
1,0,MN,677.86,677.86,0
6,0,ND,987.58,164.6,0
2,1,NE,444.3,222.15,0
2,0,OH,606.95,303.48,1
1,0,NE,1114.52,1114.52,0
6,0,OR,1409.97,235.0,1
6,0,CA,817.41,136.23,1
1,1,WA,64.46,64.46,0
6,1,CO,540.77,90.13,1
6,0,TX,628.02,104.67,1
3,1,MA,541.8,180.6,1
3,0,MN,682.59,227.53,0
1,1,CA,967.37,967.37,1
4,0,MI,225.64,56.41,0
2,0,KS,445.31,222.66,0
3,1,FL,786.09,262.03,1
2,1,WA,507.58,253.79,0
5,1,OH,1487.07,297.41,1
1,0,ND,675.58,675.58,0
4,0,FL,1311.21,327.8,1
5,1,FL,1349.94,269.99,1
5,0,MN,1262.21,252.44,1
6,0,IL,118.0,19.67,1
5,0,MI,1424.23,284.85,1
1,0,CO,236.68,236.68,0
3,0,TX,99.89,33.3,1
1,0,CO,650.84,650.84,0
3,0,TN,332.22,110.74,0
5,1,FL,317.08,63.42,1
5,0,WA,467.34,93.47,0
4,0,TX,410.19,102.55,1
3,0,KS,1042.95,347.65,0
5,1,IL,320.83,64.17,1
6,0,NE,837.52,139.59,0
2,1,TX,1480.32,740.16,1
4,0,OH,676.95,169.24,1
1,1,CO,980.72,980.72,1
4,0,MI,1455.59,363.9,0
2,0,TX,249.58,124.79,0
3,1,TX,656.98,218.99,1
1,1,TN,1282.78,1282.78,1
1,0,OH,1401.84,1401.84,1
3,0,TX,921.79,307.26,1
4,0,FL,257.96,64.49,1
5,1,NE,1357.13,271.43,1
4,0,MI,302.95,75.74,0
2,0,NE,561.67,280.83,0
6,0,MI,594.49,99.08,0
5,1,KS,698.57,139.71,1
4,1,OR,1195.74,298.94,1
6,1,SD,1213.11,202.18,1
6,0,TN,1093.5,182.25,1
3,1,IL,82.09,27.36,1
2,1,CO,869.03,434.52,1
2,1,NE,1133.86,566.93,0
2,0,FL,694.71,347.36,1
5,0,TN,1420.16,284.03,1
